,,Environmental Information Processing (Signal Transduction),Cellular Processes (Motility),Unknown: Outer Membrane Usher Protein,Unknown: Iron Complex Transport System Permease Protein ,Unkown: Peptide/Nickel Transport System Substrate-Binding Protein,Unknown - Filamentous Hemagglutinin,Metabolic Pathways,Metabolic Pathways,Metabolic Pathways,Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Transcription),Metabolic Pathways,Genetic Information Processing (Transcription),Metabolic Pathways,Unknown: Ribonuclease E,Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Replication + Repair),Metabolic Pathways,Unknown: Phosphoribosylformylglycinamidine Synthase,Unknown: Iron Complex Transport System Substrate-Binding Protein,Environmental Information Processing (Membrane Transport + Prokaryote Community Processes,Environmental Information Processing (Membrane Transport + Prokaryote Community Processes,Metabolic Pathways
NP-085-507-722_F_filt.fastq.gz,ZooplanktonW3,0.004902963,0.004902963,0.004557391,0.002376965,0.002262815,0.002499522,0.002164847,0.001841809,0.002225328,0.001716322,0.001477495,0.001477495,0.001414126,0.001414126,0.001671232,0.001282619,0.001096392,0.001325164,0.001325164,0.001436469,0.001374819,0.001588565,0.001552994,0.001552994,0.001127152
NP-086-508-722_F_filt.fastq.gz,ZooplanktonW3,0.004836528,0.004836528,0.004558698,0.002362593,0.002237986,0.002511575,0.002148288,0.001840808,0.002213226,0.00171719,0.001487821,0.001487821,0.001424531,0.001424531,0.001675635,0.001227217,0.001101294,0.001332545,0.001332545,0.001438375,0.001380262,0.001578361,0.00155719,0.00155719,0.0011326
NP-087-510-722_F_filt.fastq.gz,ArtemiaW3,0.003200429,0.003200429,0.001164543,0.002626934,0.002479019,0.000838293,0.00119411,0.001655094,0.002113883,0.00151187,0.002456137,0.002456137,0.002397189,0.002397189,0.002001001,0.000592755,0.001736996,0.002082545,0.002082545,0.001716166,0.002208384,0.001770311,0.000534709,0.000534709,0.002325855
NP-088-511-722_F_filt.fastq.gz,ArtemiaW3,0.005383973,0.005383973,0.004139515,0.002290594,0.002268006,0.001944319,0.00228183,0.001744893,0.002323858,0.001679906,0.001596566,0.001596566,0.001521298,0.001521298,0.001646312,0.001163082,0.001138454,0.001361132,0.001361132,0.001408275,0.001481736,0.001447015,0.001223907,0.001223907,0.001288034
NP-090-515-723_F_filt.fastq.gz,ArtemiaW3,0.00696297,0.00696297,0.003436821,0.002155676,0.002193001,0.002312775,0.002109618,0.001712658,0.00172253,0.001743078,0.001690728,0.001690728,0.001618406,0.001618406,0.001567698,0.001538119,0.001615956,0.001464357,0.001464357,0.001434483,0.001521297,0.001389693,0.001438874,0.001438874,0.0013345
NP-091-516-723_F_filt.fastq.gz,ArtemiaW3,0.004496398,0.004496398,0.001505851,0.001981579,0.003860132,0.002018832,0.001625218,0.001975396,0.001045391,0.001939398,0.002067053,0.002067053,0.002025326,0.002025326,0.001691981,0.003069862,0.003278887,0.001714703,0.001714703,0.001871739,0.001685724,0.001327826,0.000608755,0.000608755,0.001720099
NP-093-518-728_F_filt.fastq.gz,ArtemiaW3,0.002458336,0.002458336,0.005275766,0.002285325,0.001969971,0.001728737,0.002170689,0.001838917,0.002634605,0.001536837,0.001409858,0.001409858,0.001351795,0.001351795,0.001765455,0.001214146,0.001003592,0.001167234,0.001167234,0.00146058,0.001318333,0.001469827,0.001233741,0.001233741,0.001078616
NP-094-520-728_F_filt.fastq.gz,ArtemiaW3,0.007519282,0.007519282,0.003403317,0.00207273,0.001986238,0.002202848,0.002099474,0.001734304,0.001548264,0.001782943,0.001586099,0.001586099,0.001527096,0.001527096,0.001505807,0.001558691,0.001726729,0.001376789,0.001376789,0.001395384,0.001471968,0.001328045,0.001499899,0.001499899,0.001223118
NP-095-521-728_F_filt.fastq.gz,ArtemiaW3,0.006670752,0.006670752,0.003172107,0.002470279,0.002392525,0.001795719,0.002170532,0.001777587,0.001729662,0.001844215,0.001674507,0.001674507,0.001604856,0.001604856,0.001557773,0.002443321,0.001664154,0.001478879,0.001478879,0.001431076,0.001522225,0.001605168,0.001238972,0.001238972,0.001374093
NP-096-522-728_F_filt.fastq.gz,ArtemiaW3,0.006746068,0.006746068,0.003770193,0.002076102,0.001912329,0.001982895,0.002108187,0.0017294,0.001712212,0.001743242,0.001555744,0.001555744,0.001497131,0.001497131,0.001527546,0.001514533,0.001594814,0.001343479,0.001343479,0.001397658,0.001447258,0.001307195,0.001438392,0.001438392,0.001194971
NP-097-502-723_F_filt.fastq.gz,ArtemiaW3,0.007695403,0.007695403,0.003302818,0.002076063,0.002009875,0.002260123,0.002095759,0.001735138,0.001508431,0.001791292,0.001596528,0.001596528,0.001537408,0.001537408,0.00150283,0.001595814,0.001764503,0.001388576,0.001388576,0.001398152,0.001479513,0.001336753,0.001513481,0.001513481,0.001235016
NP-098-503-723_F_filt.fastq.gz,ArtemiaW3,0.007050335,0.007050335,0.00234717,0.001841982,0.001914704,0.002508696,0.001841314,0.00183328,0.001069349,0.001872196,0.001909504,0.001909504,0.00184868,0.00184868,0.001509852,0.002176901,0.002139402,0.001609655,0.001609655,0.001605546,0.001643363,0.001189436,0.001185373,0.001185373,0.001490998
NP-099-505-723_F_filt.fastq.gz,ArtemiaW3,0.007730335,0.007730335,0.003296811,0.002081524,0.002016542,0.002259484,0.002099781,0.001738152,0.001499627,0.001797917,0.001591736,0.001591736,0.001532266,0.001532266,0.001501138,0.001644169,0.00177637,0.001384563,0.001384563,0.001395184,0.001477396,0.001340531,0.001514197,0.001514197,0.001226748
NP-102-508-724_F_filt.fastq.gz,ArtemiaW3,0.007049293,0.007049293,0.003485802,0.002088611,0.002023523,0.002249815,0.002083706,0.001728268,0.001606661,0.001747602,0.001658789,0.001658789,0.001595709,0.001595709,0.001550376,0.001532582,0.001655348,0.001442975,0.001442975,0.001439878,0.001482184,0.001350378,0.001494037,0.001494037,0.001291115
NP-103-510-724_F_filt.fastq.gz,ArtemiaW3,0.007631148,0.007631148,0.003288096,0.0021005,0.00206218,0.002241896,0.002106688,0.001745271,0.001545193,0.001791811,0.001608505,0.001608505,0.001548367,0.001548367,0.001513857,0.001581505,0.001750422,0.001397726,0.001397726,0.001403884,0.001489374,0.00135282,0.001479737,0.001479737,0.001245801
NP-104-511-724_F_filt.fastq.gz,ArtemiaW3,0.001811069,0.001811069,0.001651239,0.002230425,0.002660239,0.0005918,0.001066635,0.001609473,0.002341277,0.001328777,0.002442484,0.002442484,0.002377331,0.002377331,0.002106848,0.001886507,0.001748914,0.002068732,0.002068732,0.001767611,0.00218496,0.001448611,0.000426789,0.000426789,0.002377737
NP-105-513-724_F_filt.fastq.gz,ArtemiaW3,0.004736184,0.004736184,0.004714809,0.002110877,0.001772298,0.001473922,0.002162921,0.00171903,0.002175313,0.001634885,0.001511806,0.001511806,0.001452034,0.001452034,0.001601693,0.001320197,0.001188421,0.001294731,0.001294731,0.001418147,0.001389083,0.001279657,0.001283649,0.001283649,0.001156124
NP-106-515-724_F_filt.fastq.gz,ArtemiaW3,0.007732588,0.007732588,0.003316818,0.002075787,0.002003568,0.002267563,0.002102126,0.001737196,0.001507889,0.001794287,0.001589301,0.001589301,0.001530151,0.001530151,0.001502064,0.001577525,0.001762048,0.001381772,0.001381772,0.001394072,0.001475844,0.001336672,0.001519946,0.001519946,0.001221771
NP-120-502-727_F_filt.fastq.gz,ZooplanktonW4,0.004833716,0.004833716,0.004585139,0.002376058,0.002255877,0.002518252,0.00215725,0.001842405,0.002239671,0.0017104,0.001476984,0.001476984,0.001413894,0.001413894,0.001676536,0.001215171,0.001079086,0.001324466,0.001324466,0.001438293,0.001374755,0.001590407,0.001560052,0.001560052,0.001125116
NP-121-503-727_F_filt.fastq.gz,ZooplanktonW4,0.004864967,0.004864967,0.004589252,0.002374334,0.002254007,0.002517846,0.002163421,0.001842306,0.002238032,0.001711904,0.001474261,0.001474261,0.001411159,0.001411159,0.001674237,0.001217678,0.001078266,0.001322302,0.001322302,0.001436588,0.001372475,0.001588319,0.001561659,0.001561659,0.001121614
NP-122-505-727_F_filt.fastq.gz,ZooplanktonW4,0.004872983,0.004872983,0.004518516,0.002327945,0.002206942,0.002681165,0.002127912,0.001825645,0.002187804,0.001724351,0.001491157,0.001491157,0.001428636,0.001428636,0.001661872,0.001269818,0.001104219,0.001334801,0.001334801,0.001442568,0.001391398,0.001556827,0.001547291,0.001547291,0.001134968
NP-123-506-727_F_filt.fastq.gz,ZooplanktonW4,0.004867586,0.004867586,0.004583679,0.002372295,0.002252681,0.00252123,0.002159816,0.001841974,0.002232864,0.001711871,0.00147493,0.00147493,0.001411865,0.001411865,0.001673768,0.001220749,0.001083686,0.001322587,0.001322587,0.00143696,0.00137306,0.001587332,0.001562976,0.001562976,0.001122193
NP-126-510-728_F_filt.fastq.gz,ZooplanktonW4,0.004948957,0.004948957,0.004491731,0.002367717,0.002283376,0.002479856,0.002160374,0.001829506,0.002231849,0.001710585,0.00150137,0.00150137,0.001436776,0.001436776,0.001667528,0.001202893,0.001090428,0.001341459,0.001341459,0.001435606,0.001393337,0.001577985,0.001529768,0.001529768,0.001162553
NP-127-511-728_F_filt.fastq.gz,ZooplanktonW4,0.004819913,0.004819913,0.004557407,0.00237402,0.002270137,0.002503278,0.002149825,0.001841455,0.002226232,0.001712532,0.001483503,0.001483503,0.001420197,0.001420197,0.00167224,0.001276838,0.001094834,0.001329754,0.001329754,0.001439696,0.001377637,0.00158833,0.001550656,0.001550656,0.001139538
NP-128-513-728_F_filt.fastq.gz,ZooplanktonW4,0.004931237,0.004931237,0.004465469,0.002360707,0.002296697,0.002481467,0.002157302,0.001843919,0.002196511,0.001721952,0.001495562,0.001495562,0.001433034,0.001433034,0.001669376,0.001271379,0.001146106,0.001336977,0.001336977,0.001447036,0.001384742,0.00157693,0.001523844,0.001523844,0.001143576
NP-129-515-728_F_filt.fastq.gz,ZooplanktonW4,0.004831653,0.004831653,0.004510075,0.002363778,0.002306169,0.002517607,0.002146058,0.001848187,0.00220083,0.001720664,0.001488674,0.001488674,0.001426245,0.001426245,0.00167279,0.001280248,0.001144865,0.001331795,0.001331795,0.001450147,0.00137822,0.001582538,0.001538341,0.001538341,0.001135579
NP-133-520-723_F_filt.fastq.gz,ZooplanktonW4,0.005189008,0.005189008,0.004464917,0.002363095,0.002263207,0.002452265,0.002199411,0.001828772,0.002222567,0.001721938,0.00149281,0.00149281,0.001427878,0.001427878,0.001659017,0.00121445,0.001093573,0.001334082,0.001334082,0.001426334,0.00138986,0.001568793,0.001523611,0.001523611,0.001143277
NP-134-521-723_F_filt.fastq.gz,ZooplanktonW4,0.004842371,0.004842371,0.004594821,0.002374897,0.002254861,0.002523438,0.002160323,0.001842894,0.00223924,0.001711143,0.001473924,0.001473924,0.001410825,0.001410825,0.001675278,0.001217614,0.001077727,0.001322064,0.001322064,0.001437337,0.001372156,0.00158953,0.001563346,0.001563346,0.001121317
NP-135-522-729_F_filt.fastq.gz,ZooplanktonW4,0.004842371,0.004842371,0.004594821,0.002374897,0.002254861,0.002523438,0.002160323,0.001842894,0.00223924,0.001711143,0.001473924,0.001473924,0.001410825,0.001410825,0.001675278,0.001217614,0.001077727,0.001322064,0.001322064,0.001437337,0.001372156,0.00158953,0.001563346,0.001563346,0.001121317
NP-139-506-729_F_filt.fastq.gz,ArtemiaW4,0.003367484,0.003367484,0.005340305,0.002333907,0.002406375,0.002463647,0.002281317,0.001969032,0.00228864,0.001557285,0.001418123,0.001418123,0.001356773,0.001356773,0.001977253,0.001198229,0.001242449,0.001179101,0.001179101,0.001486531,0.00132551,0.001595022,0.001411069,0.001411069,0.001081301
NP-141-508-729_F_filt.fastq.gz,ArtemiaW4,0.003700791,0.003700791,0.002681267,0.001782548,0.00253308,0.00135768,0.001496194,0.001578772,0.001680138,0.001524628,0.002295169,0.002295169,0.002232531,0.002232531,0.001483345,0.000834287,0.001360319,0.001941548,0.001941548,0.001599956,0.001781258,0.001124432,0.00089546,0.00089546,0.002477029
