"","x"
"K03004","DNA-directed RNA polymerase I subunit RPA43"
"K03005","DNA-directed RNA polymerase I subunit RPA49"
"K03006","DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]"
"K03007","DNA-directed RNA polymerases I, II, and III subunit RPABC5"
"K03008","DNA-directed RNA polymerase II subunit RPB11"
"K03009","DNA-directed RNA polymerases I, II, and III subunit RPABC4"
"K03010","DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]"
"K03011","DNA-directed RNA polymerase II subunit RPB3"
"K03012","DNA-directed RNA polymerase II subunit RPB4"
"K03013","DNA-directed RNA polymerases I, II, and III subunit RPABC1"
"K03014","DNA-directed RNA polymerases I, II, and III subunit RPABC2"
"K03015","DNA-directed RNA polymerase II subunit RPB7"
"K03016","DNA-directed RNA polymerases I, II, and III subunit RPABC3"
"K03017","DNA-directed RNA polymerase II subunit RPB9"
"K03018","DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]"
"K03019","DNA-directed RNA polymerase III subunit RPC11"
"K03020","DNA-directed RNA polymerases I and III subunit RPAC2"
"K03021","DNA-directed RNA polymerase III subunit RPC2 [EC:2.7.7.6]"
"K03022","DNA-directed RNA polymerase III subunit RPC8"
"K03023","DNA-directed RNA polymerase III subunit RPC3"
"K03024","DNA-directed RNA polymerase III subunit RPC7"
"K03025","DNA-directed RNA polymerase III subunit RPC6"
"K03026","DNA-directed RNA polymerase III subunit RPC4"
"K03027","DNA-directed RNA polymerases I and III subunit RPAC1"
"K03028","26S proteasome regulatory subunit N1"
"K03029","26S proteasome regulatory subunit N10"
"K03030","26S proteasome regulatory subunit N11"
"K03031","26S proteasome regulatory subunit N12"
"K03032","26S proteasome regulatory subunit N2"
"K03033","26S proteasome regulatory subunit N3"
"K03035","26S proteasome regulatory subunit N5"
"K03036","26S proteasome regulatory subunit N6"
"K03037","26S proteasome regulatory subunit N7"
"K03038","26S proteasome regulatory subunit N8"
"K03039","26S proteasome regulatory subunit N9"
"K03040","DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]"
"K03041","DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]"
"K03042","DNA-directed RNA polymerase subunit A"" [EC:2.7.7.6]"
"K03043","DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]"
"K03044","DNA-directed RNA polymerase subunit B' [EC:2.7.7.6]"
"K03045","DNA-directed RNA polymerase subunit B"" [EC:2.7.7.6]"
"K03046","DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]"
"K03047","DNA-directed RNA polymerase subunit D [EC:2.7.7.6]"
"K03048","DNA-directed RNA polymerase subunit delta"
"K03049","DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]"
"K03050","DNA-directed RNA polymerase subunit E"" [EC:2.7.7.6]"
"K03051","DNA-directed RNA polymerase subunit F [EC:2.7.7.6]"
"K03052","DNA-directed RNA polymerase subunit G [EC:2.7.7.6]"
"K03053","DNA-directed RNA polymerase subunit H [EC:2.7.7.6]"
"K03054","DNA-directed RNA polymerase subunit I [EC:2.7.7.6]"
"K03055","DNA-directed RNA polymerase subunit K [EC:2.7.7.6]"
"K03056","DNA-directed RNA polymerase subunit L [EC:2.7.7.6]"
"K03058","DNA-directed RNA polymerase subunit N [EC:2.7.7.6]"
"K03059","DNA-directed RNA polymerase subunit P [EC:2.7.7.6]"
"K03060","DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]"
"K03061","26S proteasome regulatory subunit T1"
"K03062","26S proteasome regulatory subunit T2"
"K03063","26S proteasome regulatory subunit T3"
"K03064","26S proteasome regulatory subunit T4"
"K03065","26S proteasome regulatory subunit T5"
"K03066","26S proteasome regulatory subunit T6"
"K03068","low density lipoprotein receptor-related protein 5/6"
"K03069","frequently rearranged in advanced T-cell lymphomas 1"
"K03070","preprotein translocase subunit SecA"
"K03071","preprotein translocase subunit SecB"
"K03072","preprotein translocase subunit SecD"
"K03073","preprotein translocase subunit SecE"
"K03074","preprotein translocase subunit SecF"
"K03075","preprotein translocase subunit SecG"
"K03076","preprotein translocase subunit SecY"
"K03077","L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]"
"K03078","3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]"
"K03079","L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]"
"K03080","L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]"
"K03081","3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]"
"K03082","hexulose-6-phosphate isomerase [EC:5.-.-.-]"
"K03083","glycogen synthase kinase 3 beta [EC:2.7.11.26]"
"K03084","phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1 [EC:3.1.3.86]"
"K03085","substrate and inhibitor of the cyclin-dependent protein kinase CDC28"
"K03087","RNA polymerase nonessential primary-like sigma factor"
"K03092","RNA polymerase sigma-54 factor"
"K03094","S-phase kinase-associated protein 1"
"K03096","frequently rearranged in advanced T-cell lymphomas 2"
"K03097","casein kinase II subunit alpha [EC:2.7.11.1]"
"K03099","son of sevenless"
"K03100","signal peptidase I [EC:3.4.21.89]"
"K03101","signal peptidase II [EC:3.4.23.36]"
"K03102","squid"
"K03103","multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]"
"K03104","signal recognition particle subunit SRP14"
"K03105","signal recognition particle subunit SRP19"
"K03106","signal recognition particle subunit SRP54 [EC:3.6.5.4]"
"K03107","signal recognition particle subunit SRP68"
"K03108","signal recognition particle subunit SRP72"
"K03109","signal recognition particle subunit SRP9"
"K03110","fused signal recognition particle receptor"
"K03111","single-strand DNA-binding protein"
"K03113","translation initiation factor 1"
"K03114","mitosis inhibitor protein kinase SWE1 [EC:2.7.11.1]"
"K03115","casein kinase II subunit beta"
"K03116","sec-independent protein translocase protein TatA"
"K03117","sec-independent protein translocase protein TatB"
"K03118","sec-independent protein translocase protein TatC"
"K03119","taurine dioxygenase [EC:1.14.11.17]"
"K03120","transcription initiation factor TFIID TATA-box-binding protein"
"K03121","transcription initiation factor TFII-I"
"K03122","transcription initiation factor TFIIA large subunit"
"K03123","transcription initiation factor TFIIA small subunit"
"K03124","transcription initiation factor TFIIB"
"K03125","transcription initiation factor TFIID subunit 1"
"K03126","transcription initiation factor TFIID subunit 12"
"K03127","transcription initiation factor TFIID subunit 13"
"K03128","transcription initiation factor TFIID subunit 2"
"K03129","transcription initiation factor TFIID subunit 4"
"K03130","transcription initiation factor TFIID subunit 5"
"K03131","transcription initiation factor TFIID subunit 6"
"K03132","transcription initiation factor TFIID subunit 7"
"K03133","transcription initiation factor TFIID subunit 9B"
"K03134","transcription initiation factor TFIID subunit 10"
"K03135","transcription initiation factor TFIID subunit 11"
"K03136","transcription initiation factor TFIIE subunit alpha"
"K03137","transcription initiation factor TFIIE subunit beta"
"K03138","transcription initiation factor TFIIF subunit alpha"
"K03139","transcription initiation factor TFIIF subunit beta [EC:3.6.4.12]"
"K03140","transcription initiation factor TFIID/TFIIF subunit"
"K03141","transcription initiation factor TFIIH subunit 1"
"K03142","transcription initiation factor TFIIH subunit 2"
"K03143","transcription initiation factor TFIIH subunit 3"
"K03144","transcription initiation factor TFIIH subunit 4"
"K03146","thiamine thiazole synthase"
"K03147","phosphomethylpyrimidine synthase [EC:4.1.99.17]"
"K03148","sulfur carrier protein ThiS adenylyltransferase [EC:2.7.7.73]"
"K03149","thiazole synthase [EC:2.8.1.10]"
"K03150","2-iminoacetate synthase [EC:4.1.99.19]"
"K03151","thiamine biosynthesis protein ThiI"
"K03153","glycine oxidase [EC:1.4.3.19]"
"K03154","sulfur carrier protein"
"K03156","tumor necrosis factor superfamily, member 2"
"K03157","lymphotoxin beta (TNF superfamily, member 3)"
"K03158","tumor necrosis factor receptor superfamily member 1A"
"K03159","lymphotoxin beta receptor TNFR superfamily member 3"
"K03160","tumor necrosis factor receptor superfamily member 5"
"K03161","tumor necrosis factor ligand superfamily member 5"
"K03164","DNA topoisomerase II [EC:5.99.1.3]"
"K03165","DNA topoisomerase III [EC:5.99.1.2]"
"K03171","tumor necrosis factor receptor type 1-associated DEATH domain protein"
"K03172","TNF receptor-associated factor 1"
"K03173","TNF receptor-associated factor 2 [EC:2.3.2.27]"
"K03174","TNF receptor-associated factor 3"
"K03175","TNF receptor-associated factor 6 [EC:2.3.2.27]"
"K03176","neurotrophic tyrosine kinase receptor type 1 [EC:2.7.10.1]"
"K03178","ubiquitin-activating enzyme E1 [EC:6.2.1.45]"
"K03179","4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]"
"K03181","chorismate--pyruvate lyase [EC:4.1.3.40]"
"K03182","4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]"
"K03183","demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]"
"K03184","2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase [EC:1.14.13.-]"
"K03185","2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]"
"K03186","flavin prenyltransferase [EC:2.5.1.129]"
"K03191","acid-activated urea channel"
"K03193","dermatan/chondrotin sulfate uronyl 2-O-sulfotransferase UST [EC:2.8.2.-]"
"K03194","type IV secretion system protein VirB1"
"K03195","type IV secretion system protein VirB10"
"K03196","type IV secretion system protein VirB11"
"K03197","type IV secretion system protein VirB2"
"K03198","type IV secretion system protein VirB3"
"K03199","type IV secretion system protein VirB4"
"K03200","type IV secretion system protein VirB5"
"K03201","type IV secretion system protein VirB6"
"K03202","type IV secretion system protein VirB7"
"K03203","type IV secretion system protein VirB8"
"K03204","type IV secretion system protein VirB9"
"K03205","type IV secretion system protein VirD4"
"K03209","wingless-type MMTV integration site family, member 1"
"K03210","preprotein translocase subunit YajC"
"K03211","ETS translocation variant 6/7"
"K03213","naked cuticle"
"K03217","YidC/Oxa1 family membrane protein insertase"
"K03219","type III secretion protein C"
"K03221","type III secretion protein F"
"K03222","type III secretion protein J"
"K03223","type III secretion protein L"
"K03224","ATP synthase in type III secretion protein N [EC:3.6.3.14]"
"K03225","type III secretion protein Q"
"K03226","type III secretion protein R"
"K03227","type III secretion protein S"
"K03228","type III secretion protein T"
"K03229","type III secretion protein U"
"K03230","type III secretion protein V"
"K03231","elongation factor 1-alpha"
"K03233","elongation factor 1-gamma"
"K03234","elongation factor 2"
"K03236","translation initiation factor 1A"
"K03237","translation initiation factor 2 subunit 1"
"K03238","translation initiation factor 2 subunit 2"
"K03239","translation initiation factor eIF-2B subunit alpha"
"K03240","translation initiation factor eIF-2B subunit epsilon"
"K03241","translation initiation factor eIF-2B subunit gamma"
"K03242","translation initiation factor 2 subunit 3"
"K03243","translation initiation factor 5B"
"K03245","translation initiation factor 3 subunit J"
"K03246","translation initiation factor 3 subunit I"
"K03247","translation initiation factor 3 subunit H"
"K03248","translation initiation factor 3 subunit G"
"K03249","translation initiation factor 3 subunit F"
"K03250","translation initiation factor 3 subunit E"
"K03251","translation initiation factor 3 subunit D"
"K03252","translation initiation factor 3 subunit C"
"K03253","translation initiation factor 3 subunit B"
"K03254","translation initiation factor 3 subunit A"
"K03257","translation initiation factor 4A"
"K03258","translation initiation factor 4B"
"K03259","translation initiation factor 4E"
"K03260","translation initiation factor 4G"
"K03262","translation initiation factor 5"
"K03264","translation initiation factor 6"
"K03265","peptide chain release factor subunit 1"
"K03267","peptide chain release factor subunit 3"
"K03268","benzene/toluene/chlorobenzene dioxygenase subunit alpha [EC:1.14.12.3 1.14.12.11 1.14.12.-]"
"K03269","UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]"
"K03270","3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]"
"K03271","D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]"
"K03272","D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]"
"K03273","D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]"
"K03274","ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]"
"K03275","UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]"
"K03276","UDP-glucose/galactose:(glucosyl)LPS alpha-1,2-glucosyl/galactosyltransferase [EC:2.4.1.-]"
"K03277","heptosyltransferase IV [EC:2.4.-.-]"
"K03278","UDP-D-galactose:(glucosyl)LPS alpha-1,3-D-galactosyltransferase [EC:2.4.1.44]"
"K03279","UDP-glucose:(galactosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.58]"
"K03280","UDP-N-acetylglucosamine:(glucosyl)LPS alpha-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.56]"
"K03283","heat shock 70kDa protein 1/8"
"K03330","glutamyl-tRNA(Gln) amidotransferase subunit E [EC:6.3.5.7]"
"K03331","L-xylulose reductase [EC:1.1.1.10]"
"K03332","fructan beta-fructosidase [EC:3.2.1.80]"
"K03333","cholesterol oxidase [EC:1.1.3.6]"
"K03334","L-amino-acid oxidase [EC:1.4.3.2]"
"K03335","inosose dehydratase [EC:4.2.1.44]"
"K03336","3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22]"
"K03337","5-deoxy-glucuronate isomerase [EC:5.3.1.30]"
"K03338","5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]"
"K03339","6-phospho-5-dehydro-2-deoxy-D-gluconate aldolase [EC:4.1.2.29]"
"K03340","diaminopimelate dehydrogenase [EC:1.4.1.16]"
"K03341","O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase [EC:2.9.1.2]"
"K03342","para-aminobenzoate synthetase / 4-amino-4-deoxychorismate lyase [EC:2.6.1.85 4.1.3.38]"
"K03343","putrescine oxidase [EC:1.4.3.10]"
"K03344","Dvl-binding protein IDAX"
"K03345","sentrin-specific protease 2 (axin associating molecule) [EC:3.4.22.68]"
"K03347","cullin 1"
"K03348","anaphase-promoting complex subunit 1"
"K03349","anaphase-promoting complex subunit 2"
"K03350","anaphase-promoting complex subunit 3"
"K03351","anaphase-promoting complex subunit 4"
"K03352","anaphase-promoting complex subunit 5"
"K03353","anaphase-promoting complex subunit 6"
"K03354","anaphase-promoting complex subunit 7"
"K03355","anaphase-promoting complex subunit 8"
"K03356","anaphase-promoting complex subunit 9"
"K03357","anaphase-promoting complex subunit 10"
"K03358","anaphase-promoting complex subunit 11"
"K03359","anaphase-promoting complex subunit 12"
"K03360","F-box and leucine-rich repeat protein GRR1"
"K03361","F-box and WD-40 domain protein CDC4"
"K03362","F-box and WD-40 domain protein 1/11"
"K03363","cell division cycle 20, cofactor of APC complex"
"K03364","cell division cycle 20-like protein 1, cofactor of APC complex"
"K03365","creatinine deaminase [EC:3.5.4.21]"
"K03366","meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]"
"K03367","D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]"
"K03368","beta-galactoside alpha-2,3-sialyltransferase (sialyltransferase 4B) [EC:2.4.99.4]"
"K03369","alpha-N-acetyl-neuraminate alpha-2,8-sialyltransferase (sialyltransferase 8E) [EC:2.4.99.-]"
"K03370","lactosylceramide alpha-2,3-sialyltransferase (sialyltransferase 9) [EC:2.4.99.9]"
"K03371","alpha-N-acetyl-neuraminate alpha-2,8-sialyltransferase (sialyltransferase 8A) [EC:2.4.99.8]"
"K03372","MFS transporter, PAT family, solute carrier family 33 (acetyl-CoA transportor), member 1 [EC:2.3.1.-]"
"K03373","N-acetylgalactosaminide alpha-2,6-sialyltransferase (sialyltransferase 7C) [EC:2.4.99.-]"
"K03374","N-acetylgalactosaminide alpha-2,6-sialyltransferase (sialyltransferase 7D) [EC:2.4.99.7]"
"K03375","N-acetylgalactosaminide alpha-2,6-sialyltransferase (sialyltransferase 7E) [EC:2.4.99.-]"
"K03376","N-acetylgalactosaminide alpha-2,6-sialyltransferase (sialyltransferase 7F) [EC:2.4.99.-]"
"K03378","morphine 6-dehydrogenase [EC:1.1.1.218]"
"K03379","cyclohexanone monooxygenase [EC:1.14.13.22]"
"K03380","phenol 2-monooxygenase [EC:1.14.13.7]"
"K03381","catechol 1,2-dioxygenase [EC:1.13.11.1]"
"K03382","hydroxydechloroatrazine ethylaminohydrolase [EC:3.5.4.43]"
"K03383","cyanuric acid amidohydrolase [EC:3.5.2.15]"
"K03385","nitrite reductase (cytochrome c-552) [EC:1.7.2.2]"
"K03386","peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]"
"K03388","heterodisulfide reductase subunit A [EC:1.8.98.1]"
"K03389","heterodisulfide reductase subunit B [EC:1.8.98.1]"
"K03390","heterodisulfide reductase subunit C [EC:1.8.98.1]"
"K03391","pentachlorophenol monooxygenase [EC:1.14.13.50]"
"K03392","aminocarboxymuconate-semialdehyde decarboxylase [EC:4.1.1.45]"
"K03394","precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]"
"K03396","S-(hydroxymethyl)glutathione synthase [EC:4.4.1.22]"
"K03399","cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289]"
"K03400","long-chain-fatty-acyl-CoA reductase [EC:1.2.1.50]"
"K03403","magnesium chelatase subunit H [EC:6.6.1.1]"
"K03404","magnesium chelatase subunit D [EC:6.6.1.1]"
"K03405","magnesium chelatase subunit I [EC:6.6.1.1]"
"K03406","methyl-accepting chemotaxis protein"
"K03407","two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"
"K03408","purine-binding chemotaxis protein CheW"
"K03409","chemotaxis protein CheX"
"K03410","chemotaxis protein CheC"
"K03411","chemotaxis protein CheD [EC:3.5.1.44]"
"K03412","two-component system, chemotaxis family, response regulator CheB [EC:3.1.1.61]"
"K03413","two-component system, chemotaxis family, response regulator CheY"
"K03414","chemotaxis protein CheZ"
"K03415","two-component system, chemotaxis family, response regulator CheV"
"K03416","methylmalonyl-CoA carboxyltransferase 5S subunit [EC:2.1.3.1]"
"K03417","methylisocitrate lyase [EC:4.1.3.30]"
"K03418","N,N-dimethylformamidase [EC:3.5.1.56]"
"K03419","chondroitin polymerizing factor 2 [EC:2.4.1.226]"
"K03420","proteasome regulatory subunit"
"K03421","methyl-coenzyme M reductase subunit C"
"K03422","methyl-coenzyme M reductase subunit D"
"K03425","sec-independent protein translocase protein TatE"
"K03426","NAD+ diphosphatase [EC:3.6.1.22]"
"K03428","magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]"
"K03429","processive 1,2-diacylglycerol beta-glucosyltransferase [EC:2.4.1.315]"
"K03430","2-aminoethylphosphonate-pyruvate transaminase [EC:2.6.1.37]"
"K03431","phosphoglucosamine mutase [EC:5.4.2.10]"
"K03432","proteasome alpha subunit [EC:3.4.25.1]"
"K03433","proteasome beta subunit [EC:3.4.25.1]"
"K03434","N-acetylglucosaminylphosphatidylinositol deacetylase [EC:3.5.1.89]"
"K03443","pannexin 1"
"K03456","serine/threonine-protein phosphatase 2A regulatory subunit A"
"K03460","solute carrier organic anion transporter family, member 1A"
"K03462","nicotinamide phosphoribosyltransferase [EC:2.4.2.12]"
"K03464","muconolactone D-isomerase [EC:5.3.3.4]"
"K03465","thymidylate synthase (FAD) [EC:2.1.1.148]"
"K03469","ribonuclease HI [EC:3.1.26.4]"
"K03470","ribonuclease HII [EC:3.1.26.4]"
"K03471","ribonuclease HIII [EC:3.1.26.4]"
"K03472","D-erythrose 4-phosphate dehydrogenase [EC:1.2.1.72]"
"K03473","erythronate-4-phosphate dehydrogenase [EC:1.1.1.290]"
"K03474","pyridoxine 5-phosphate synthase [EC:2.6.99.2]"
"K03475","PTS system, ascorbate-specific IIC component"
"K03476","L-ascorbate 6-phosphate lactonase [EC:3.1.1.-]"
"K03479","alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase (sialyltransferase 7A) [EC:2.4.99.3]"
"K03494","beta-galactoside alpha-2,3-sialyltransferase (sialyltransferase 4C) [EC:2.4.99.4]"
"K03504","DNA polymerase delta subunit 3"
"K03505","DNA polymerase delta subunit 4"
"K03506","DNA polymerase epsilon subunit 4 [EC:2.7.7.7]"
"K03508","DNA polymerase zeta [EC:2.7.7.7]"
"K03509","DNA polymerase eta [EC:2.7.7.7]"
"K03510","DNA polymerase iota [EC:2.7.7.7]"
"K03511","DNA polymerase kappa [EC:2.7.7.7]"
"K03512","DNA polymerase lambda [EC:2.7.7.7 4.2.99.-]"
"K03513","DNA polymerase mu [EC:2.7.7.7]"
"K03514","non-canonical poly(A) RNA polymerase PAPD5/7 [EC:2.7.7.19]"
"K03515","DNA repair protein REV1 [EC:2.7.7.-]"
"K03517","quinolinate synthase [EC:2.5.1.72]"
"K03518","carbon-monoxide dehydrogenase small subunit [EC:1.2.7.4]"
"K03519","carbon-monoxide dehydrogenase medium subunit [EC:1.2.7.4]"
"K03520","carbon-monoxide dehydrogenase large subunit [EC:1.2.7.4]"
"K03523","biotin transport system substrate-specific component"
"K03524","BirA family transcriptional regulator, biotin operon repressor / biotin-[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]"
"K03525","type III pantothenate kinase [EC:2.7.1.33]"
"K03526","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]"
"K03527","4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]"
"K03531","cell division protein FtsZ"
"K03532","trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorC"
"K03533","TorA specific chaperone"
"K03537","ribonuclease P/MRP protein subunit POP5 [EC:3.1.26.5]"
"K03538","ribonuclease P protein subunit POP4 [EC:3.1.26.5]"
"K03539","ribonuclease P/MRP protein subunit RPP1 [EC:3.1.26.5]"
"K03540","ribonuclease P protein subunit RPR2 [EC:3.1.26.5]"
"K03541","photosystem II 10kDa protein"
"K03542","photosystem II 22kDa protein"
"K03544","ATP-dependent Clp protease ATP-binding subunit ClpX"
"K03550","holliday junction DNA helicase RuvA [EC:3.6.4.12]"
"K03551","holliday junction DNA helicase RuvB [EC:3.6.4.12]"
"K03553","recombination protein RecA"
"K03555","DNA mismatch repair protein MutS"
"K03557","Fis family transcriptional regulator, factor for inversion stimulation protein"
"K03563","carbon storage regulator"
"K03566","LysR family transcriptional regulator, glycine cleavage system transcriptional activator"
"K03567","glycine cleavage system transcriptional repressor"
"K03572","DNA mismatch repair protein MutL"
"K03573","DNA mismatch repair protein MutH"
"K03575","A/G-specific adenine glycosylase [EC:3.2.2.-]"
"K03581","exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]"
"K03582","exodeoxyribonuclease V beta subunit [EC:3.1.11.5]"
"K03583","exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]"
"K03584","DNA repair protein RecO (recombination protein O)"
"K03585","membrane fusion protein, multidrug efflux system"
"K03587","cell division protein FtsI (penicillin-binding protein 3)"
"K03588","cell division protein FtsW"
"K03589","cell division protein FtsQ"
"K03590","cell division protein FtsA"
"K03594","bacterioferritin [EC:1.16.3.1]"
"K03596","GTP-binding protein LepA"
"K03601","exodeoxyribonuclease VII large subunit [EC:3.1.11.6]"
"K03602","exodeoxyribonuclease VII small subunit [EC:3.1.11.6]"
"K03606","putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase"
"K03620","Ni/Fe-hydrogenase 1 B-type cytochrome subunit"
"K03621","glycerol-3-phosphate acyltransferase PlsX [EC:2.3.1.15]"
"K03628","transcription termination factor Rho"
"K03629","DNA replication and repair protein RecF"
"K03635","molybdopterin synthase catalytic subunit [EC:2.8.1.12]"
"K03636","sulfur-carrier protein"
"K03637","cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]"
"K03639","GTP 3',8-cyclase [EC:4.1.99.22]"
"K03644","lipoyl synthase [EC:2.8.1.8]"
"K03648","uracil-DNA glycosylase [EC:3.2.2.27]"
"K03649","double-stranded uracil-DNA glycosylase [EC:3.2.2.28]"
"K03651","3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]"
"K03652","DNA-3-methyladenine glycosylase [EC:3.2.2.21]"
"K03654","ATP-dependent DNA helicase RecQ [EC:3.6.4.12]"
"K03655","ATP-dependent DNA helicase RecG [EC:3.6.4.12]"
"K03657","DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]"
"K03660","N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]"
"K03661","V-type H+-transporting ATPase 21kDa proteolipid subunit"
"K03662","V-type H+-transporting ATPase S1 subunit"
"K03663","4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase [EC:2.4.1.152]"
"K03666","host factor-I protein"
"K03671","thioredoxin 1"
"K03673","thiol:disulfide interchange protein DsbA"
"K03678","exosome complex component RRP45"
"K03679","exosome complex component RRP4"
"K03680","translation initiation factor eIF-2B subunit delta"
"K03681","exosome complex component RRP40"
"K03685","ribonuclease III [EC:3.1.26.3]"
"K03689","cytochrome b6-f complex subunit 8"
"K03691","peptide-O-fucosyltransferase [EC:2.4.1.221]"
"K03693","penicillin-binding protein"
"K03695","ATP-dependent Clp protease ATP-binding subunit ClpB"
"K03701","excinuclease ABC subunit A"
"K03702","excinuclease ABC subunit B"
"K03703","excinuclease ABC subunit C"
"K03707","thiaminase (transcriptional activator TenA) [EC:3.5.99.2]"
"K03714","glycoprotein 2-beta-D-xylosyltransferase [EC:2.4.2.38]"
"K03715","1,2-diacylglycerol 3-beta-galactosyltransferase [EC:2.4.1.46]"
"K03723","transcription-repair coupling factor (superfamily II helicase) [EC:3.6.4.-]"
"K03728","nuclear receptor subfamily 1 group D member 1"
"K03729","class B basic helix-loop-helix protein 2"
"K03730","class B basic helix-loop-helix protein 3"
"K03732","ATP-dependent RNA helicase RhlB [EC:3.6.4.13]"
"K03735","ethanolamine ammonia-lyase large subunit [EC:4.3.1.7]"
"K03736","ethanolamine ammonia-lyase small subunit [EC:4.3.1.7]"
"K03737","pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]"
"K03738","aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]"
"K03739","membrane protein involved in D-alanine export"
"K03740","D-alanine transfer protein"
"K03742","nicotinamide-nucleotide amidase [EC:3.5.1.42]"
"K03743","nicotinamide-nucleotide amidase [EC:3.5.1.42]"
"K03750","molybdopterin molybdotransferase [EC:2.10.1.1]"
"K03754","translation initiation factor eIF-2B subunit beta"
"K03760","lipid A ethanolaminephosphotransferase [EC:2.7.8.43]"
"K03763","DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]"
"K03766","beta-1,3-N-acetylglucosaminyltransferase 5 [EC:2.4.1.206]"
"K03767","peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]"
"K03776","aerotaxis receptor"
"K03777","D-lactate dehydrogenase [EC:1.1.1.28]"
"K03778","D-lactate dehydrogenase [EC:1.1.1.28]"
"K03779","L(+)-tartrate dehydratase alpha subunit [EC:4.2.1.32]"
"K03780","L(+)-tartrate dehydratase beta subunit [EC:4.2.1.32]"
"K03781","catalase [EC:1.11.1.6]"
"K03782","catalase-peroxidase [EC:1.11.1.21]"
"K03783","purine-nucleoside phosphorylase [EC:2.4.2.1]"
"K03784","purine-nucleoside phosphorylase [EC:2.4.2.1]"
"K03785","3-dehydroquinate dehydratase I [EC:4.2.1.10]"
"K03786","3-dehydroquinate dehydratase II [EC:4.2.1.10]"
